AphiaId,AphiaId_Desc,ICES_Vocab_CodeType_Worms_AphiaId,ASFIS_Code,ASFIS_Code_Desc,ICES_Vocab_CodeType_FAO_ASFIS
154600,Hypophthalmichthys nobilis,SpecWoRMS,BIC,Hypophthalmichthys nobilis,SpecASFIS
126049,Priacanthus,SpecWoRMS,BIG,Priacanthus spp,SpecASFIS
125539,Istiophoridae,SpecWoRMS,BIL,Istiophoridae,SpecASFIS
159646,Selar crumenophthalmus,SpecWoRMS,BIS,Selar crumenophthalmus,SpecASFIS
126228,Balistes,SpecWoRMS,BIX,Balistes spp,SpecASFIS
237819,Abraliopsis morisii,SpecWoRMS,BJF,Abraliopsis morisii,SpecASFIS
254991,Mesoplodon stejnegeri,SpecWoRMS,BJW,Mesoplodon stejnegeri,SpecASFIS
127076,Stromateus fiatola,SpecWoRMS,BLB,Stromateus fiatola,SpecASFIS
125519,Blenniidae,SpecWoRMS,BLE,Blenniidae,SpecASFIS
159343,Thunnus atlanticus,SpecWoRMS,BLF,Thunnus atlanticus,SpecASFIS
126459,Molva dypterygia,SpecWoRMS,BLI,Molva dypterygia,SpecASFIS
139688,Abralia veranyi,SpecWoRMS,BLJ,Abralia veranyi,SpecASFIS
127150,Scophthalmus rhombus,SpecWoRMS,BLL,Scophthalmus rhombus,SpecASFIS
712905,Istiompax indica,SpecWoRMS,BLM,Istiompax indica,SpecASFIS
137669,Anadara,SpecWoRMS,BLS,Anadara spp,SpecASFIS
127015,Auxis rochei,SpecWoRMS,BLT,Auxis rochei,SpecASFIS
151482,Pomatomus saltatrix,SpecWoRMS,BLU,Pomatomus saltatrix,SpecASFIS
137090,Balaenoptera musculus,SpecWoRMS,BLW,Balaenoptera musculus,SpecASFIS
126431,Bregmaceros atlanticus,SpecWoRMS,BMA,Bregmaceros atlanticus,SpecASFIS
137086,Balaena mysticetus,SpecWoRMS,BMY,Balaena mysticetus,SpecASFIS
231418,Indopacetus pacificus,SpecWoRMS,BNW,Indopacetus pacificus,SpecASFIS
280725,Ethmalosa fimbriata,SpecWoRMS,BOA,Ethmalosa fimbriata,SpecASFIS
127419,Capros aper,SpecWoRMS,BOC,Capros aper,SpecASFIS
234810,Allocyttus niger,SpecWoRMS,BOE,Allocyttus niger,SpecASFIS
127047,Boops boops,SpecWoRMS,BOG,Boops boops,SpecASFIS
279922,Boesemania microlepis,SpecWoRMS,BOM,Boesemania microlepis,SpecASFIS
127021,Sarda sarda,SpecWoRMS,BON,Sarda sarda,SpecASFIS
125613,Caproidae,SpecWoRMS,BOR,Caproidae,SpecASFIS
343899,Hyperoodon ampullatus,SpecWoRMS,BOW,Hyperoodon ampullatus,SpecASFIS
126095,Aphanopus,SpecWoRMS,BOX,Aphanopus spp,SpecASFIS
140389,Bolinus brandaris,SpecWoRMS,BOY,Bolinus brandaris,SpecASFIS
126828,Spicara maena,SpecWoRMS,BPI,Spicara maena,SpecASFIS
127281,Bonapartia pedaliota,SpecWoRMS,BPO,Zaphotias pedaliotus,SpecASFIS
322499,Zaphotias pedaliotus,SpecWoRMS,BPO,Zaphotias pedaliotus,SpecASFIS
273148,Brama japonica,SpecWoRMS,BPQ,Brama japonica,SpecASFIS
231409,Mesoplodon peruvianus,SpecWoRMS,BPW,Mesoplodon peruvianus,SpecASFIS
159175,Branta bernicla,SpecWoRMS,BPZ,Branta bernicla,SpecASFIS
159176,Branta canadensis,SpecWoRMS,BQV,Branta canadensis,SpecASFIS
159177,Branta leucopsis,SpecWoRMS,BQZ,Branta leucopsis,SpecASFIS
127066,Spondyliosoma cantharus,SpecWoRMS,BRB,Spondyliosoma cantharus,SpecASFIS
159067,Brotula barbata,SpecWoRMS,BRD,Brotula barbata,SpecASFIS
127251,Helicolenus dactylopterus,SpecWoRMS,BRF,Helicolenus dactylopterus,SpecASFIS
280386,Conodon nobilis,SpecWoRMS,BRG,Conodon nobilis,SpecASFIS
125601,Gonostomatidae,SpecWoRMS,BRI,Gonostomatidae,SpecASFIS
217341,Carcharhinus brachyurus,SpecWoRMS,BRO,Carcharhinus brachyurus,SpecASFIS
343898,Phocoena spinipinnis,SpecWoRMS,BRP,Phocoena spinipinnis,SpecASFIS
127334,Borostomias antarcticus,SpecWoRMS,BRT,Borostomias antarcticus,SpecASFIS
273146,Brama australis,SpecWoRMS,BRU,Brama australis,SpecASFIS
137089,Balaenoptera edeni,SpecWoRMS,BRW,Balaenoptera edeni,SpecASFIS
125456,Berycidae,SpecWoRMS,BRX,Berycidae,SpecASFIS
125520,Bramidae,SpecWoRMS,BRZ,Bramidae,SpecASFIS
151176,Morone,SpecWoRMS,BSA,Morone spp,SpecASFIS
127062,Pagrus caeruleostictus,SpecWoRMS,BSC,Pagrus caeruleostictus,SpecASFIS
126029,Dicentrarchus,SpecWoRMS,BSE,Dicentrarchus spp,SpecASFIS
127085,Aphanopus carbo,SpecWoRMS,BSF,Aphanopus carbo,SpecASFIS
105801,Prionace glauca,SpecWoRMS,BSH,Prionace glauca,SpecASFIS
105837,Cetorhinus maximus,SpecWoRMS,BSK,Cetorhinus maximus,SpecASFIS
270873,Seriolella,SpecWoRMS,BSP,Seriolella spp,SpecASFIS
126975,Dicentrarchus labrax,SpecWoRMS,BSS,Dicentrarchus labrax,SpecASFIS
231433,Tasmacetus shepherdi,SpecWoRMS,BSW,Tasmacetus shepherdi,SpecASFIS
125561,Serranidae,SpecWoRMS,BSX,Serranidae,SpecASFIS
220344,Halieutaea stellata,SpecWoRMS,BTF,Halieutaea stellata,SpecASFIS
105835,Alopias superciliosus ,SpecWoRMS,BTH,Alopias superciliosus,SpecASFIS
137126,Mesoplodon mirus,SpecWoRMS,BTW,Mesoplodon mirus,SpecASFIS
159483,Chloroscombrus chrysurus,SpecWoRMS,BUA,Chloroscombrus chrysurus,SpecASFIS
126950,Makaira nigricans,SpecWoRMS,BUM,Makaira nigricans,SpecASFIS
273507,Pomadasys jubelini,SpecWoRMS,BUR,Pomadasys jubelini,SpecASFIS
159828,Peprilus triacanthus,SpecWoRMS,BUT,Peprilus triacanthus,SpecASFIS
254990,Mesoplodon carlhubbsi,SpecWoRMS,BUW,Mesoplodon carlhubbsi,SpecASFIS
125567,Stromateidae,SpecWoRMS,BUX,Stromateidae,SpecASFIS
1803,Brachiopoda,SpecWoRMS,BVH,Brachiopoda,SpecASFIS
127069,Sphyraena viridensis,SpecWoRMS,BVV,Sphyraena viridensis,SpecASFIS
103552,Clavelina lepadiformis,SpecWoRMS,BVW,Clavelina lepadiformis,SpecASFIS
125509,Bathylagidae,SpecWoRMS,BVY,Bathylagidae,SpecASFIS
219737,Hyperoglyphe antarctica,SpecWoRMS,BWA,Hyperoglyphe antarctica,SpecASFIS
137186,Gavia arctica,SpecWoRMS,BWC,Gavia arctica,SpecASFIS
137101,Lagenorhynchus albirostris,SpecWoRMS,BWD,Lagenorhynchus albirostris,SpecASFIS
137187,Gavia immer,SpecWoRMS,BWE,Gavia immer,SpecASFIS
137188,Gavia stellata,SpecWoRMS,BWF,Gavia stellata,SpecASFIS
1264298,Platichthys solemdali ,SpecWoRMS,BWP,Platichthys solemdali,SpecASFIS
126119,Platichthys,SpecWoRMS,BWQ,Platichthys ,SpecASFIS
125281,Paragorgiidae,SpecWoRMS,BWV,Paragorgiidae,SpecASFIS
137121,Mesoplodon bidens,SpecWoRMS,BWW,Mesoplodon bidens,SpecASFIS
160790,Brisaster antarcticus,SpecWoRMS,BXA,Brisaster antarcticus,SpecASFIS
126394,Beryx decadactylus,SpecWoRMS,BXD,Beryx decadactylus,SpecASFIS
279859,Ballerus ballerus,SpecWoRMS,BXG,Ballerus ballerus,SpecASFIS
106210,Semibalanus balanoides,SpecWoRMS,BXL,Semibalanus balanoides,SpecASFIS
343896,Balaenoptera omurai,SpecWoRMS,BXO,Balaenoptera omurai,SpecASFIS
254993,Mesoplodon traversii,SpecWoRMS,BXT,Mesoplodon traversii,SpecASFIS
126395,Beryx splendens,SpecWoRMS,BYS,Beryx splendens,SpecASFIS
137124,Mesoplodon grayi,SpecWoRMS,BYW,Mesoplodon grayi,SpecASFIS
271509,Bathyraja brachyurops,SpecWoRMS,BZB,Bathyraja brachyurops,SpecASFIS
146142,Bryozoa,SpecWoRMS,BZN,Bryozoa,SpecASFIS
126119,Platichthys,SpecWoRMS,BZQ,Platichthys spp,SpecASFIS
126758,Anarhichas lupus,SpecWoRMS,CAA,Anarhichas lupus,SpecASFIS
126757,Anarhichas denticulatus,SpecWoRMS,CAB,Anarhichas denticulatus,SpecASFIS
126534,Caulophryne jordani,SpecWoRMS,CAJ,Caulophryne jordani,SpecASFIS
106921,Callinectes,SpecWoRMS,CAL,Callinectes spp,SpecASFIS
126735,Mallotus villosus,SpecWoRMS,CAP,Mallotus villosus,SpecASFIS
1517375,Chondrichthyes,SpecWoRMS,CAR,Chondrichthyes,SpecASFIS
126759,Anarhichas minor,SpecWoRMS,CAS,Anarhichas minor,SpecASFIS
125912,Anarhichas,SpecWoRMS,CAT,Anarhichas spp,SpecASFIS
154659,Ariidae,SpecWoRMS,CAX,Ariidae,SpecASFIS
127006,Rachycentron canadum,SpecWoRMS,CBA,Rachycentron canadum,SpecASFIS
126835,Cepola macrophthalma,SpecWoRMS,CBC,Cepola macrophthalma,SpecASFIS
126990,Cubiceps gracilis,SpecWoRMS,CBG,Cubiceps gracilis,SpecASFIS
280154,Chirocentrodon bleekerianus,SpecWoRMS,CBK,Chirocentrodon bleekerianus,SpecASFIS
127010,Sciaena umbra,SpecWoRMS,CBM,Sciaena umbra,SpecASFIS
127041,Serranus cabrilla,SpecWoRMS,CBR,Serranus cabrilla,SpecASFIS
217544,Bathymyrus smithi,SpecWoRMS,CBS,Bathymyrus smithi,SpecASFIS
126284,Bathyuroconger vicinus,SpecWoRMS,CBV,Bathyuroconger vicinus,SpecASFIS
278305,Crossorhombus azureus,SpecWoRMS,CBZ,Crossorhombus azureus,SpecASFIS
105787,Carcharhinus altimus,SpecWoRMS,CCA,Carcharhinus altimus,SpecASFIS
105792,Carcharhinus leucas,SpecWoRMS,CCE,Carcharhinus leucas,SpecASFIS
105793,Carcharhinus limbatus,SpecWoRMS,CCL,Carcharhinus limbatus,SpecASFIS
105797,Carcharhinus plumbeus,SpecWoRMS,CCP,Carcharhinus plumbeus,SpecASFIS
105798,Carcharhinus signatus,SpecWoRMS,CCS,Carcharhinus signatus,SpecASFIS
137194,Calonectris diomedea,SpecWoRMS,CDI,Calonectris diomedea,SpecASFIS
125967,Epigonus,SpecWoRMS,CDL,Epigonus spp,SpecASFIS
127338,Chauliodus sloani,SpecWoRMS,CDN,Chauliodus sloani,SpecASFIS
272327,Coryphaenoides delsolari,SpecWoRMS,CDR,Coryphaenoides delsolari,SpecASFIS
125558,Sciaenidae,SpecWoRMS,CDX,Sciaenidae,SpecASFIS
125732,Gadus,SpecWoRMS,CDZ,Gadus spp,SpecASFIS
215598,Centrophorus moluccensis,SpecWoRMS,CEM,Centrophorus moluccensis,SpecASFIS
125526,Centrolophidae,SpecWoRMS,CEN,Centrolophidae,SpecASFIS
126831,Centrolophus niger,SpecWoRMS,CEO,Centrolophus niger,SpecASFIS
11707,Cephalopoda,SpecWoRMS,CEP,Cephalopoda,SpecASFIS
127154,Dicologlossa cuneata,SpecWoRMS,CET,Dicologlossa cuneata,SpecASFIS
206206,Genypterus,SpecWoRMS,CEX,Genypterus spp,SpecASFIS
105906,Centroscyllium fabricii,SpecWoRMS,CFB,Centroscyllium fabricii,SpecASFIS
218174,Cephalopholis argus,SpecWoRMS,CFF,Cephalopholis argus,SpecASFIS
254548,Careproctus furcellus,SpecWoRMS,CFU,Careproctus furcellus,SpecASFIS
126845,Coryphaena equiselis,SpecWoRMS,CFW,Coryphaena equiselis,SpecASFIS
234117,Chaceon maritae,SpecWoRMS,CGE,Chaceon maritae,SpecASFIS
154298,Carassius auratus,SpecWoRMS,CGO,Carassius auratus,SpecASFIS
125523,Carangidae,SpecWoRMS,CGX,Carangidae,SpecASFIS
254977,Cephalorhynchus eutropia,SpecWoRMS,CHD,Cephalorhynchus eutropia,SpecASFIS
221460,Callorhinchus capensis,SpecWoRMS,CHM,Callorhinchus capensis,SpecASFIS
220316,Loligo reynaudii,SpecWoRMS,CHO,Loligo reynaudii,SpecASFIS
404077,Coregonus widegreni,SpecWoRMS,CIB,Coregonus widegreni,SpecASFIS
277075,Pseudorhombus cinnamoneus,SpecWoRMS,CIF,Pseudorhombus cinnamoneus,SpecASFIS
127130,Citharus linguatula,SpecWoRMS,CIL,Citharus linguatula,SpecASFIS
125577,Citharidae,SpecWoRMS,CIT,Citharidae,SpecASFIS
273303,Trachurus murphyi,SpecWoRMS,CJM,Trachurus murphyi,SpecASFIS
