OBJECTID,ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,stat_x,stat_y,Area_27,Perc,MaxPer,RNDMaxPer,AreasList,Shape_Leng,Shape_Area
7287,4831.00000000000,29F5,50.00000000000,5.00000000000,50.50000000000,6.00000000000,3967,5.50000000000,50.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7288,4832.00000000000,30F5,50.50000000000,5.00000000000,51.00000000000,6.00000000000,3925,5.50000000000,50.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7289,4833.00000000000,31F5,51.00000000000,5.00000000000,51.50000000000,6.00000000000,3884,5.50000000000,51.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7290,4901.00000000000,01F6,36.00000000000,6.00000000000,36.50000000000,7.00000000000,4987,6.50000000000,36.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7291,4902.00000000000,02F6,36.50000000000,6.00000000000,37.00000000000,7.00000000000,4955,6.50000000000,36.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7292,4903.00000000000,03F6,37.00000000000,6.00000000000,37.50000000000,7.00000000000,4923,6.50000000000,37.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7293,4904.00000000000,04F6,37.50000000000,6.00000000000,38.00000000000,7.00000000000,4891,6.50000000000,37.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7294,4905.00000000000,05F6,38.00000000000,6.00000000000,38.50000000000,7.00000000000,4858,6.50000000000,38.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7295,4906.00000000000,06F6,38.50000000000,6.00000000000,39.00000000000,7.00000000000,4825,6.50000000000,38.75000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
7296,4907.00000000000,07F6,39.00000000000,6.00000000000,39.50000000000,7.00000000000,4792,6.50000000000,39.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7297,4908.00000000000,08F6,39.50000000000,6.00000000000,40.00000000000,7.00000000000,4758,6.50000000000,39.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7298,4909.00000000000,09F6,40.00000000000,6.00000000000,40.50000000000,7.00000000000,4724,6.50000000000,40.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7299,4910.00000000000,10F6,40.50000000000,6.00000000000,41.00000000000,7.00000000000,4689,6.50000000000,40.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7300,4911.00000000000,11F6,41.00000000000,6.00000000000,41.50000000000,7.00000000000,4654,6.50000000000,41.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7301,4912.00000000000,12F6,41.50000000000,6.00000000000,42.00000000000,7.00000000000,4619,6.50000000000,41.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7302,4913.00000000000,13F6,42.00000000000,6.00000000000,42.50000000000,7.00000000000,4583,6.50000000000,42.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7303,4914.00000000000,14F6,42.50000000000,6.00000000000,43.00000000000,7.00000000000,4547,6.50000000000,42.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7304,4915.00000000000,15F6,43.00000000000,6.00000000000,43.50000000000,7.00000000000,4511,6.50000000000,43.25000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
7305,4916.00000000000,16F6,43.50000000000,6.00000000000,44.00000000000,7.00000000000,4474,6.50000000000,43.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7306,4917.00000000000,17F6,44.00000000000,6.00000000000,44.50000000000,7.00000000000,4437,6.50000000000,44.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7307,4918.00000000000,18F6,44.50000000000,6.00000000000,45.00000000000,7.00000000000,4400,6.50000000000,44.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7308,4919.00000000000,19F6,45.00000000000,6.00000000000,45.50000000000,7.00000000000,4362,6.50000000000,45.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7309,4920.00000000000,20F6,45.50000000000,6.00000000000,46.00000000000,7.00000000000,4324,6.50000000000,45.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7310,4921.00000000000,21F6,46.00000000000,6.00000000000,46.50000000000,7.00000000000,4286,6.50000000000,46.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7311,4922.00000000000,22F6,46.50000000000,6.00000000000,47.00000000000,7.00000000000,4247,6.50000000000,46.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7312,4923.00000000000,23F6,47.00000000000,6.00000000000,47.50000000000,7.00000000000,4208,6.50000000000,47.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7313,4924.00000000000,24F6,47.50000000000,6.00000000000,48.00000000000,7.00000000000,4169,6.50000000000,47.75000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
7314,4925.00000000000,25F6,48.00000000000,6.00000000000,48.50000000000,7.00000000000,4129,6.50000000000,48.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7315,4926.00000000000,26F6,48.50000000000,6.00000000000,49.00000000000,7.00000000000,4089,6.50000000000,48.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7316,4927.00000000000,27F6,49.00000000000,6.00000000000,49.50000000000,7.00000000000,4048,6.50000000000,49.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7317,4928.00000000000,28F6,49.50000000000,6.00000000000,50.00000000000,7.00000000000,4008,6.50000000000,49.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7318,4929.00000000000,29F6,50.00000000000,6.00000000000,50.50000000000,7.00000000000,3967,6.50000000000,50.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7319,4930.00000000000,30F6,50.50000000000,6.00000000000,51.00000000000,7.00000000000,3925,6.50000000000,50.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7320,4931.00000000000,31F6,51.00000000000,6.00000000000,51.50000000000,7.00000000000,3884,6.50000000000,51.25000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7321,4932.00000000000,32F6,51.50000000000,6.00000000000,52.00000000000,7.00000000000,3842,6.50000000000,51.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7322,4933.00000000000,33F6,52.00000000000,6.00000000000,52.50000000000,7.00000000000,3800,6.50000000000,52.25000000000,,,0.00000000000,0,,3.00000000120,0.50000000070
7323,4934.00000000000,34F6,52.50000000000,6.00000000000,53.00000000000,7.00000000000,3757,6.50000000000,52.75000000000,,,0.00000000000,0,,2.99999999940,0.49999999980
7324,4999.00000000000,01F7,36.00000000000,7.00000000000,36.50000000000,8.00000000000,4987,7.50000000000,36.25000000000,,,0.00000000000,0,,3.00000000120,0.50000000025
7325,5000.00000000000,02F7,36.50000000000,7.00000000000,37.00000000000,8.00000000000,4955,7.50000000000,36.75000000000,,,0.00000000000,0,,3.00000000120,0.50000000025
7326,5001.00000000000,03F7,37.00000000000,7.00000000000,37.50000000000,8.00000000000,4923,7.50000000000,37.25000000000,,,0.00000000000,0,,3.00000000120,0.50000000025
